Time,Mean,StDev,SEM,Group
0.0,0.00639999657869339,0.010900000110268593,0.0031,2
0.333,0.00870000571012497,0.013000000268220901,0.0046,2
0.667,0.008299998939037323,0.013199999928474426,0.0038,2
1.0,0.008599996566772461,0.01360000018030405,0.0039,2
1.333,0.008699998259544373,0.014000000432133675,0.0049,2
1.667,0.009199999272823334,0.014100000262260437,0.005,2
2.0,0.009100005030632019,0.014100000262260437,0.0041,2
2.333,0.008900001645088196,0.013899999670684338,0.004,2
2.667,0.00899999588727951,0.0142000000923872,0.0041,2
3.0,0.008599996566772461,0.014399999752640724,0.0042,2
3.333,0.008900001645088196,0.014299999922513962,0.0051,2
3.667,0.00899999588727951,0.0142000000923872,0.0041,2
4.0,0.008299998939037323,0.013700000010430813,0.004,2
4.333,0.008500002324581146,0.014100000262260437,0.005,2
4.667,0.008900001645088196,0.014399999752640724,0.0051,2
5.0,0.008799999952316284,0.014700000174343586,0.0042,2
5.333,0.008799999952316284,0.014299999922513962,0.0041,2
5.667,0.00899999588727951,0.01510000042617321,0.0044,2
6.0,0.008799999952316284,0.014999999664723873,0.0043,2
6.333,0.009199999272823334,0.014999999664723873,0.0053,2
6.667,0.008599996566772461,0.014800000004470348,0.0043,2
7.0,0.009400002658367157,0.015300000086426735,0.0044,2
7.333,0.009800001978874207,0.015200000256299973,0.0054,2
7.667,0.009199999272823334,0.01549999974668026,0.0055,2
8.0,0.009300000965595245,0.015699999406933784,0.0045,2
8.333,0.009299993515014648,0.015300000086426735,0.0044,2
8.667,0.009499996900558472,0.01549999974668026,0.0045,2
9.0,0.00899999588727951,0.01600000075995922,0.0046,2
9.333,0.009800001978874207,0.01600000075995922,0.0057,2
9.667,0.009800001978874207,0.01600000075995922,0.0046,2
10.0,0.009400002658367157,0.01549999974668026,0.0045,2
10.333,0.009199999272823334,0.015699999406933784,0.0056,2
10.667,0.009199999272823334,0.015799999237060547,0.0056,2
11.0,0.009199999272823334,0.01600000075995922,0.0046,2
